Serial Episode, Thumbnail Link, Video Link, Genre
Bigg Boss 4 Tamil 06-11-2020 - Day 33 - Vijay TV Reality Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k4pJvshyi0agULwqDHe&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 07-11-2020 - Day 34 - Vijay TV Weekend Show 5,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1MbPBMBUCVARewqJiU&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 07-11-2020 - Day 34 - Vijay TV Weekend Show 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kPtg7xFvYUkighwqJcV&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 07-11-2020 - Day 34 - Vijay TV Weekend Show 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2dVlmGHDvcKMYwqJ3n&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 07-11-2020 - Day 34 - Vijay TV Weekend Show 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k38rggQlKaiQuKwqIYY&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 07-11-2020 - Day 34 - Vijay TV Weekend Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kMo1d7cuJE53VSwqIOg&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 08-11-2020 - Day 35 - Vijay TV Show 5,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k5WqVXDNSaAAWEwqQeN&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 08-11-2020 - Day 35 - Vijay TV Show 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2Hhl9wYJ2LvoJwqQ97&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 08-11-2020 - Day 35 - Vijay TV Show 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k7DRMXwNksCU94wqQ2d&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 08-11-2020 - Day 35 - Vijay TV Show 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6d5UdS3nun00XwqPUB&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 08-11-2020 - Day 35 - Vijay TV Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6O4BawJuoKVXJwqPLm&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 09-11-2020 - Day 36 - Vijay TV Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7xcz55&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 10-11-2020 - Day 37 - Vijay TV Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2yItHjkoQRj3wwrntq&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 11-11-2020 - Day 38 - Vijay TV Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3iB9GxC9JnzhXwrzl0&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 12-11-2020 - Day 39 - Vijay TV Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k47dgfj7CRlMmbwrIES&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 13-11-2020 - Day 40 *LIVE* - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7xgz8a&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 14-11-2020 - Day 41 *LIVE* - Vijay TV 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kf3inMfAzUIKwbwrYaP&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 14-11-2020 - Day 41 *LIVE* - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3Mm0iCV3cCw8dwrYa4&mode=playVideo, Big Boss
Bigg Boss Tamil 4 15-11-2020 Day 42 Vijay TV 5,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k59y6CjLmVEPKrws1HY&mode=playVideo, Big Boss
